"FOLIO","VIV_SEL","HOGAR","N_INF","P2_9","P2_10","EDIS","UPM_DIS","FAC_HOG","ESTRATO","TLOC"
"0000450","03","1","03","","01","007","0000111",753,"2","4"
"0000451","04","1","01","","01","007","0000111",753,"2","4"
"0000452","05","1","01","","01","007","0000111",753,"2","4"
"0000453","06","1","01","","01","007","0000111",753,"2","4"
"0000454","07","1","02","","01","007","0000111",753,"2","4"
"0000455","08","1","01","","01","007","0000111",753,"2","4"
"0000456","09","1","01","","01","007","0000111",753,"2","4"
"0000457","10","1","01","","01","007","0000111",753,"2","4"
"0000458","11","1","02","","01","007","0000111",753,"2","4"
"0000459","12","1","01","","01","007","0000111",753,"2","4"
"0000460","13","1","02","","02","007","0000111",753,"2","4"
"0000461","14","1","01","","01","007","0000111",753,"2","4"
"0000462","15","1","01","","01","007","0000111",753,"2","4"
"0000463","16","1","01","","01","007","0000111",753,"2","4"
"0000464","17","1","02","","01","007","0000111",753,"2","4"
"0000465","18","1","01","","01","007","0000111",753,"2","4"
"0000466","19","1","04","","04","007","0000111",753,"2","4"
"0000467","20","1","01","","01","007","0000111",753,"2","4"
"0000468","01","1","02","","02","007","0000112",786,"2","4"
"0000469","02","1","02","","02","007","0000112",786,"2","4"
"0000470","04","1","02","","02","007","0000112",786,"2","4"
"0000471","05","1","02","","02","007","0000112",786,"2","4"
"0000472","06","1","01","","01","007","0000112",786,"2","4"
"0000473","07","1","02","","03","007","0000112",786,"2","4"
